"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 23, 2020","5,728.82","5,714.24","5,728.82","5,625.20","-","0.26%"
"Jan 22, 2020","5,714.24","5,681.56","5,718.81","5,667.73","-","0.61%"
"Jan 21, 2020","5,679.34","5,697.89","5,722.06","5,661.69","-","-0.32%"
"Jan 20, 2020","5,697.81","5,618.46","5,697.81","5,598.85","-","1.41%"
"Jan 17, 2020","5,618.46","5,562.07","5,618.46","5,559.16","-","1.01%"
"Jan 16, 2020","5,562.03","5,552.57","5,599.06","5,512.41","-","0.17%"
"Jan 15, 2020","5,552.44","5,584.81","5,585.11","5,525.49","-","-0.58%"
"Jan 14, 2020","5,584.81","5,547.44","5,586.79","5,523.33","-","0.68%"
"Jan 13, 2020","5,547.31","5,438.69","5,548.17","5,438.69","-","1.99%"
"Jan 10, 2020","5,438.84","5,452.65","5,494.04","5,397.06","-","-0.25%"
"Jan 09, 2020","5,452.54","5,406.43","5,452.54","5,406.43","-","0.85%"
"Jan 08, 2020","5,406.36","5,385.26","5,426.09","5,359.75","-","0.39%"
"Jan 07, 2020","5,385.32","5,394.04","5,402.07","5,340.96","-","-0.16%"
"Jan 06, 2020","5,393.88","5,440.77","5,440.83","5,362.41","-","-0.86%"
"Jan 03, 2020","5,440.77","5,435.15","5,468.03","5,354.82","-","0.07%"
"Jan 02, 2020","5,436.88","5,279.39","5,436.88","5,279.17","-","3.00%"
"Dec 30, 2019","5,278.33","5,328.26","5,347.64","5,278.12","-","-0.94%"
"Dec 27, 2019","5,328.26","5,349.20","5,374.29","5,294.25","-","-0.39%"
"Dec 26, 2019","5,349.20","5,275.31","5,350.22","5,265.49","-","1.41%"
"Dec 23, 2019","5,274.84","5,233.00","5,274.84","5,231.97","-","0.80%"
"Dec 20, 2019","5,233.00","5,236.17","5,239.92","5,194.10","-","-0.05%"
"Dec 19, 2019","5,235.87","5,192.01","5,236.00","5,156.51","-","0.83%"
"Dec 18, 2019","5,192.74","5,110.23","5,197.12","5,105.02","-","1.62%"
"Dec 17, 2019","5,110.02","5,162.12","5,182.15","5,096.44","-","-1.01%"
"Dec 16, 2019","5,162.04","5,128.56","5,173.76","5,128.56","-","0.66%"
"Dec 13, 2019","5,128.22","5,060.03","5,128.22","5,060.03","-","1.36%"
"Dec 12, 2019","5,059.47","4,993.08","5,077.17","4,993.08","-","1.33%"
"Dec 11, 2019","4,992.96","4,958.91","4,993.64","4,958.91","-","0.69%"
"Dec 10, 2019","4,958.62","4,970.26","4,978.69","4,936.19","-","-0.23%"
"Dec 09, 2019","4,970.18","5,006.31","5,014.50","4,962.17","-","-0.73%"
"Dec 06, 2019","5,006.87","4,915.00","5,009.57","4,915.00","-","1.87%"
"Dec 05, 2019","4,914.88","4,909.56","4,929.05","4,896.78","-","0.11%"
"Dec 04, 2019","4,909.58","4,909.54","4,945.87","4,903.01","-","0.01%"
"Dec 03, 2019","4,909.26","4,890.10","4,912.28","4,848.04","-","0.39%"
"Dec 02, 2019","4,890.02","4,886.19","4,899.74","4,871.63","-","0.08%"
"Nov 29, 2019","4,886.19","4,882.32","4,906.32","4,853.67","-","0.07%"
"Nov 28, 2019","4,882.55","4,829.10","4,884.84","4,823.49","-","1.11%"
"Nov 27, 2019","4,829.10","4,801.72","4,832.62","4,759.78","-","0.57%"
"Nov 26, 2019","4,801.67","4,846.86","4,846.86","4,754.18","-","-0.93%"
"Nov 25, 2019","4,846.86","4,795.27","4,849.68","4,779.97","-","1.08%"
"Nov 22, 2019","4,795.27","4,759.30","4,795.27","4,740.53","-","0.76%"
"Nov 21, 2019","4,759.27","4,690.64","4,759.27","4,690.38","-","1.47%"
"Nov 19, 2019","4,690.46","4,694.51","4,725.28","4,659.03","-","-0.08%"
"Nov 18, 2019","4,694.40","4,704.85","4,735.78","4,680.70","-","-0.22%"
"Nov 14, 2019","4,704.83","4,639.80","4,705.27","4,639.80","-","1.40%"
"Nov 13, 2019","4,639.78","4,661.50","4,669.80","4,605.11","-","-0.46%"
"Nov 12, 2019","4,661.28","4,759.00","4,759.00","4,642.66","-","-2.05%"
"Nov 11, 2019","4,758.98","4,704.36","4,759.63","4,679.28","-","1.17%"
"Nov 08, 2019","4,704.16","4,784.69","4,784.69","4,681.27","-","-1.69%"
"Nov 07, 2019","4,784.85","4,764.14","4,802.42","4,764.14","-","0.43%"
"Nov 06, 2019","4,764.14","4,766.27","4,781.94","4,711.06","-","-0.05%"
"Nov 05, 2019","4,766.36","4,813.94","4,819.82","4,740.82","-","-0.99%"
"Nov 04, 2019","4,814.00","4,814.60","4,846.65","4,811.01","-","-0.00%"
"Nov 01, 2019","4,814.21","4,744.53","4,817.51","4,744.53","-","1.47%"
"Oct 31, 2019","4,744.50","4,767.60","4,767.60","4,713.25","-","-0.48%"
"Oct 30, 2019","4,767.52","4,724.42","4,768.23","4,710.51","-","0.91%"
"Oct 29, 2019","4,724.61","4,743.72","4,750.19","4,709.97","-","-0.40%"
"Oct 28, 2019","4,743.73","4,755.33","4,779.53","4,735.13","-","-0.22%"
"Oct 25, 2019","4,754.34","4,832.97","4,838.25","4,744.07","-","-1.62%"
"Oct 24, 2019","4,832.82","4,855.38","4,865.05","4,811.04","-","-0.46%"
"Oct 23, 2019","4,855.32","4,916.88","4,920.91","4,852.05","-","-1.25%"
"Oct 22, 2019","4,916.85","4,911.56","4,953.32","4,904.81","-","0.12%"
"Oct 21, 2019","4,911.16","4,857.42","4,912.31","4,840.11","-","1.11%"
"Oct 18, 2019","4,857.38","4,859.09","4,878.75","4,825.16","-","-0.04%"
"Oct 17, 2019","4,859.28","4,866.98","4,891.98","4,853.39","-","-0.16%"
"Oct 16, 2019","4,866.98","4,823.79","4,869.63","4,786.99","-","0.90%"
"Oct 15, 2019","4,823.71","4,806.66","4,834.17","4,802.15","-","0.35%"
"Oct 14, 2019","4,806.67","4,782.53","4,813.92","4,768.31","-","0.51%"
"Oct 11, 2019","4,782.50","4,691.99","4,812.25","4,691.99","-","1.93%"
"Oct 10, 2019","4,691.96","4,713.89","4,735.43","4,681.22","-","-0.46%"
"Oct 09, 2019","4,713.82","4,702.21","4,726.71","4,689.14","-","0.25%"
"Oct 08, 2019","4,701.93","4,748.21","4,759.16","4,684.37","-","-0.98%"
"Oct 07, 2019","4,748.60","4,818.27","4,818.37","4,735.62","-","-1.44%"
"Oct 04, 2019","4,818.22","4,727.30","4,822.44","4,710.92","-","1.93%"
"Oct 03, 2019","4,727.07","4,711.25","4,727.07","4,649.59","-","0.34%"
"Oct 02, 2019","4,711.25","4,825.68","4,825.68","4,700.61","-","-2.38%"
"Oct 01, 2019","4,825.92","4,839.87","4,847.78","4,796.28","-","-0.29%"
"Sep 30, 2019","4,839.88","4,829.25","4,853.59","4,825.05","-","0.22%"
"Sep 27, 2019","4,829.25","4,842.19","4,853.10","4,815.56","-","-0.29%"
"Sep 26, 2019","4,843.37","4,842.46","4,860.41","4,825.68","-","0.02%"
"Sep 25, 2019","4,842.24","4,829.77","4,853.52","4,810.83","-","0.26%"
"Sep 24, 2019","4,829.79","4,781.23","4,831.65","4,781.20","-","1.01%"
"Sep 23, 2019","4,781.27","4,802.27","4,802.27","4,760.52","-","-0.44%"
"Sep 20, 2019","4,802.27","4,770.20","4,804.56","4,754.73","-","0.67%"
"Sep 19, 2019","4,770.21","4,729.31","4,812.15","4,729.31","-","0.89%"
"Sep 18, 2019","4,728.03","4,726.79","4,733.21","4,686.24","-","0.03%"
"Sep 17, 2019","4,726.66","4,678.22","4,727.10","4,667.12","-","1.04%"
"Sep 16, 2019","4,678.22","4,650.64","4,696.18","4,595.67","-","0.60%"
"Sep 13, 2019","4,650.45","4,703.84","4,708.17","4,634.43","-","-1.14%"
"Sep 12, 2019","4,703.85","4,680.18","4,724.20","4,677.14","-","0.51%"
"Sep 11, 2019","4,680.13","4,585.51","4,680.17","4,585.51","-","2.06%"
"Sep 10, 2019","4,585.51","4,587.09","4,592.66","4,530.31","-","-0.03%"
"Sep 09, 2019","4,587.08","4,666.56","4,679.98","4,554.27","-","-1.70%"
"Sep 06, 2019","4,666.55","4,707.12","4,724.86","4,657.37","-","-0.85%"
"Sep 05, 2019","4,706.59","4,713.51","4,760.27","4,705.82","-","-0.14%"
"Sep 04, 2019","4,713.27","4,673.15","4,729.69","4,673.15","-","0.86%"
"Sep 03, 2019","4,673.00","4,703.09","4,758.39","4,658.12","-","-0.64%"
"Sep 02, 2019","4,703.14","4,715.97","4,740.81","4,698.15","-","-0.26%"
"Aug 30, 2019","4,715.25","4,686.13","4,735.03","4,686.13","-","0.62%"
"Aug 29, 2019","4,686.02","4,563.43","4,686.73","4,563.43","-","2.70%"
"Aug 28, 2019","4,562.73","4,493.90","4,562.73","4,460.22","-","1.53%"
"Aug 27, 2019","4,493.92","4,451.18","4,499.48","4,424.44","-","0.96%"
"Aug 26, 2019","4,451.18","4,518.19","4,554.58","4,435.28","-","-1.46%"
"Aug 23, 2019","4,517.24","4,619.47","4,619.47","4,487.67","-","-2.21%"
"Aug 22, 2019","4,619.49","4,671.59","4,687.22","4,619.49","-","-1.12%"
"Aug 21, 2019","4,671.60","4,609.62","4,678.62","4,609.62","-","1.35%"
"Aug 20, 2019","4,609.39","4,614.00","4,616.47","4,531.71","-","-0.10%"
"Aug 19, 2019","4,614.05","4,621.28","4,657.65","4,595.72","-","-0.15%"
"Aug 16, 2019","4,620.84","4,553.71","4,620.84","4,541.33","-","1.50%"
"Aug 15, 2019","4,552.62","4,593.79","4,663.82","4,511.63","-","-0.90%"
"Aug 14, 2019","4,593.90","4,719.86","4,719.86","4,582.69","-","-2.67%"
"Aug 13, 2019","4,719.87","4,715.38","4,753.85","4,682.93","-","0.10%"
"Aug 12, 2019","4,715.39","4,774.66","4,776.91","4,688.03","-","-1.25%"
"Aug 09, 2019","4,774.84","4,707.88","4,798.12","4,707.88","-","1.42%"
"Aug 08, 2019","4,707.86","4,672.51","4,713.83","4,665.43","-","0.76%"
"Aug 07, 2019","4,672.21","4,665.34","4,672.65","4,584.54","-","0.15%"
"Aug 06, 2019","4,665.35","4,553.64","4,668.06","4,553.64","-","2.46%"
"Aug 05, 2019","4,553.50","4,651.21","4,651.21","4,528.01","-","-2.10%"
"Aug 02, 2019","4,651.36","4,614.44","4,654.00","4,590.44","-","0.80%"
"Aug 01, 2019","4,614.39","4,513.51","4,660.54","4,513.51","-","2.24%"
"Jul 31, 2019","4,513.14","4,529.17","4,533.39","4,456.04","-","-0.35%"
"Jul 30, 2019","4,529.15","4,518.62","4,554.30","4,502.07","-","0.23%"
"Jul 29, 2019","4,518.58","4,456.29","4,519.11","4,438.62","-","1.40%"
"Jul 26, 2019","4,456.29","4,394.26","4,474.11","4,394.26","-","1.41%"
"Jul 25, 2019","4,394.26","4,349.46","4,428.92","4,349.04","-","1.03%"
"Jul 24, 2019","4,349.41","4,325.86","4,369.76","4,325.19","-","0.54%"
"Jul 23, 2019","4,325.89","4,341.81","4,361.23","4,318.04","-","-0.37%"
"Jul 22, 2019","4,341.80","4,322.34","4,369.79","4,322.34","-","0.45%"
"Jul 19, 2019","4,322.31","4,366.43","4,376.06","4,317.29","-","-1.01%"
"Jul 18, 2019","4,366.49","4,319.49","4,366.55","4,319.49","-","1.09%"
"Jul 17, 2019","4,319.47","4,296.69","4,339.55","4,296.69","-","0.54%"
"Jul 16, 2019","4,296.48","4,326.00","4,346.87","4,281.91","-","-0.67%"
"Jul 15, 2019","4,325.39","4,323.46","4,355.12","4,306.08","-","0.05%"
"Jul 12, 2019","4,323.44","4,399.28","4,424.71","4,320.99","-","-1.72%"
"Jul 11, 2019","4,399.24","4,462.95","4,479.44","4,392.53","-","-1.43%"
"Jul 10, 2019","4,462.93","4,384.57","4,470.57","4,384.57","-","1.81%"
"Jul 08, 2019","4,383.64","4,347.90","4,388.48","4,346.81","-","0.82%"
"Jul 05, 2019","4,347.90","4,304.37","4,347.93","4,271.93","-","1.01%"
"Jul 04, 2019","4,304.36","4,240.22","4,305.67","4,240.22","-","1.52%"
"Jul 03, 2019","4,239.99","4,174.22","4,245.46","4,161.41","-","1.58%"
"Jul 02, 2019","4,174.22","4,135.53","4,174.22","4,123.37","-","0.93%"
"Jul 01, 2019","4,135.96","4,126.34","4,168.27","4,125.39","-","0.24%"
"Jun 28, 2019","4,126.17","4,103.49","4,137.65","4,103.49","-","0.55%"
"Jun 27, 2019","4,103.47","4,067.06","4,103.47","4,038.58","-","0.90%"
"Jun 26, 2019","4,067.05","4,076.32","4,106.86","4,051.66","-","-0.23%"
"Jun 25, 2019","4,076.30","4,144.03","4,148.32","4,071.98","-","-1.63%"
"Jun 24, 2019","4,144.04","4,142.31","4,164.04","4,126.29","-","0.04%"
"Jun 21, 2019","4,142.31","4,105.53","4,148.75","4,105.53","-","0.90%"
"Jun 19, 2019","4,105.48","4,046.97","4,105.48","4,039.53","-","1.44%"
"Jun 18, 2019","4,047.16","4,028.00","4,062.77","4,028.00","-","0.49%"
"Jun 17, 2019","4,027.54","4,023.92","4,052.33","4,014.40","-","0.09%"
"Jun 14, 2019","4,023.92","4,046.17","4,062.22","4,008.57","-","-0.55%"
"Jun 13, 2019","4,046.11","3,998.13","4,064.30","3,998.13","-","1.21%"
"Jun 12, 2019","3,997.68","4,011.86","4,021.46","3,973.12","-","-0.35%"
"Jun 11, 2019","4,011.85","3,995.96","4,020.43","3,994.06","-","0.40%"
"Jun 10, 2019","3,995.84","3,966.26","4,011.15","3,951.52","-","0.76%"
"Jun 07, 2019","3,965.65","3,939.59","3,987.12","3,939.59","-","0.66%"
"Jun 06, 2019","3,939.56","3,917.47","3,952.92","3,903.48","-","0.57%"
"Jun 05, 2019","3,917.42","3,956.83","3,981.33","3,907.95","-","-1.00%"
"Jun 04, 2019","3,956.83","3,941.92","3,969.41","3,933.82","-","0.39%"
"Jun 03, 2019","3,941.38","3,967.26","3,994.93","3,919.92","-","-0.65%"
"May 31, 2019","3,967.14","3,976.37","3,977.13","3,949.46","-","-0.24%"
"May 30, 2019","3,976.83","3,923.06","3,984.17","3,919.99","-","1.37%"
"May 29, 2019","3,923.03","3,948.78","3,953.92","3,914.06","-","-0.65%"
"May 28, 2019","3,948.74","3,893.91","3,960.94","3,893.91","-","1.41%"
"May 27, 2019","3,893.97","3,862.40","3,910.88","3,862.40","-","0.82%"
"May 24, 2019","3,862.36","3,860.78","3,897.85","3,846.84","-","0.05%"
"May 23, 2019","3,860.29","3,877.83","3,908.92","3,850.48","-","-0.45%"
"May 22, 2019","3,877.92","3,864.84","3,896.45","3,864.38","-","0.35%"
"May 21, 2019","3,864.50","3,819.23","3,889.09","3,819.23","-","1.19%"
"May 20, 2019","3,819.16","3,739.48","3,838.56","3,739.48","-","2.13%"
"May 17, 2019","3,739.41","3,753.74","3,806.68","3,735.55","-","-0.39%"
"May 16, 2019","3,754.16","3,785.39","3,787.99","3,737.47","-","-0.83%"
"May 15, 2019","3,785.58","3,810.05","3,810.05","3,720.75","-","-0.64%"
"May 14, 2019","3,810.06","3,763.23","3,810.08","3,763.23","-","1.24%"
"May 13, 2019","3,763.23","3,839.97","3,839.97","3,755.63","-","-1.98%"
"May 10, 2019","3,839.13","3,863.98","3,867.16","3,804.99","-","-0.64%"
"May 09, 2019","3,863.95","3,891.13","3,891.13","3,832.58","-","-0.70%"
"May 08, 2019","3,891.13","3,848.58","3,912.33","3,848.58","-","1.11%"
"May 07, 2019","3,848.55","3,885.50","3,886.36","3,796.31","-","-0.97%"
"May 06, 2019","3,886.12","3,889.10","3,890.20","3,842.01","-","-0.10%"
"May 03, 2019","3,889.89","3,876.58","3,904.79","3,876.58","-","0.35%"
"May 02, 2019","3,876.51","3,928.50","3,928.50","3,871.51","-","-1.32%"
"Apr 30, 2019","3,928.49","3,894.55","3,928.49","3,883.04","-","0.87%"
"Apr 29, 2019","3,894.51","3,874.08","3,917.27","3,874.08","-","0.54%"
"Apr 26, 2019","3,873.66","3,880.16","3,888.24","3,850.65","-","-0.17%"
"Apr 25, 2019","3,880.17","3,757.97","3,880.17","3,743.84","-","3.25%"
"Apr 24, 2019","3,758.00","3,782.44","3,783.63","3,732.20","-","-0.65%"
"Apr 23, 2019","3,782.45","3,726.12","3,802.82","3,726.12","-","1.52%"
"Apr 22, 2019","3,725.72","3,673.91","3,732.62","3,665.05","-","1.41%"
"Apr 18, 2019","3,673.88","3,640.89","3,688.57","3,634.29","-","0.91%"
"Apr 17, 2019","3,640.71","3,688.57","3,704.96","3,623.25","-","-1.30%"
"Apr 16, 2019","3,688.51","3,648.52","3,728.75","3,645.00","-","1.10%"
"Apr 15, 2019","3,648.54","3,623.35","3,655.61","3,623.14","-","0.70%"
"Apr 12, 2019","3,623.31","3,638.34","3,657.44","3,593.24","-","-0.47%"
"Apr 11, 2019","3,640.27","3,659.38","3,662.35","3,613.04","-","-0.52%"
"Apr 10, 2019","3,659.39","3,653.02","3,668.39","3,630.20","-","0.19%"
"Apr 09, 2019","3,652.62","3,671.54","3,671.54","3,627.16","-","-0.52%"
"Apr 08, 2019","3,671.68","3,701.82","3,703.03","3,658.09","-","-0.82%"
"Apr 05, 2019","3,701.88","3,671.45","3,729.81","3,671.45","-","0.84%"
"Apr 04, 2019","3,671.10","3,607.11","3,675.11","3,604.84","-","1.78%"
"Apr 03, 2019","3,606.83","3,625.15","3,664.50","3,590.36","-","-0.51%"
"Apr 02, 2019","3,625.15","3,637.73","3,657.36","3,597.57","-","-0.33%"
"Apr 01, 2019","3,637.31","3,627.18","3,649.45","3,613.05","-","0.32%"
