"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 03, 2020","6,044.16","6,007.96","6,044.16","5,994.59","60.49M","0.04%"
"Jan 02, 2020","6,041.50","6,016.61","6,062.92","6,011.21","63.96M","1.06%"
"Dec 31, 2019","5,978.06","5,970.59","5,987.22","5,958.25","20.67M","-0.07%"
"Dec 30, 2019","5,982.22","6,028.96","6,037.70","5,982.22","40.32M","-0.91%"
"Dec 27, 2019","6,037.39","6,039.95","6,065.00","6,027.72","47.29M","0.13%"
"Dec 24, 2019","6,029.55","6,027.19","6,033.99","6,025.62","12.44M","0.00%"
"Dec 23, 2019","6,029.37","6,013.56","6,035.95","6,005.96","46.60M","0.13%"
"Dec 20, 2019","6,021.53","5,979.53","6,024.17","5,966.88","151.36M","0.82%"
"Dec 19, 2019","5,972.28","5,963.87","5,972.28","5,942.88","72.32M","0.21%"
"Dec 18, 2019","5,959.60","5,971.40","5,983.02","5,959.60","80.80M","-0.15%"
"Dec 17, 2019","5,968.26","5,989.48","5,989.48","5,955.36","84.48M","-0.39%"
"Dec 16, 2019","5,991.66","5,946.65","6,003.38","5,942.30","77.24M","1.23%"
"Dec 13, 2019","5,919.02","5,968.86","5,972.17","5,907.22","113.20M","0.59%"
"Dec 12, 2019","5,884.26","5,871.20","5,915.65","5,845.00","91.51M","0.40%"
"Dec 11, 2019","5,860.88","5,844.02","5,865.88","5,825.42","62.94M","0.22%"
"Dec 10, 2019","5,848.03","5,833.48","5,851.11","5,776.67","73.07M","0.18%"
"Dec 09, 2019","5,837.25","5,865.73","5,870.79","5,836.14","56.25M","-0.59%"
"Dec 06, 2019","5,871.91","5,815.75","5,871.91","5,811.29","75.93M","1.21%"
"Dec 05, 2019","5,801.55","5,808.26","5,849.78","5,801.46","73.42M","0.03%"
"Dec 04, 2019","5,799.68","5,725.97","5,812.71","5,725.97","89.69M","1.27%"
"Dec 03, 2019","5,727.22","5,787.14","5,800.93","5,697.06","86.29M","-1.03%"
"Dec 02, 2019","5,786.74","5,910.12","5,947.68","5,781.03","99.39M","-2.01%"
"Nov 29, 2019","5,905.17","5,895.89","5,929.79","5,885.66","61.64M","-0.13%"
"Nov 28, 2019","5,912.72","5,909.95","5,919.13","5,900.21","42.73M","-0.24%"
"Nov 27, 2019","5,926.84","5,943.45","5,947.30","5,921.92","68.03M","-0.05%"
"Nov 26, 2019","5,929.62","5,927.41","5,941.51","5,909.93","112.04M","0.08%"
"Nov 25, 2019","5,924.86","5,917.84","5,933.75","5,908.29","62.13M","0.54%"
