"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 10, 2020","8,029.77","7,719.49","8,099.64","7,697.22","-","4.13%"
"Mar 09, 2020","7,711.15","8,460.12","8,460.12","7,623.09","-","-8.90%"
"Mar 06, 2020","8,464.75","8,831.30","8,831.30","8,326.19","-","-4.17%"
"Mar 05, 2020","8,832.74","9,187.15","9,187.15","8,702.03","-","-3.88%"
"Mar 04, 2020","9,189.15","8,801.85","9,194.47","8,801.85","-","4.49%"
"Mar 03, 2020","8,794.53","8,807.17","9,041.17","8,691.44","-","-0.15%"
"Mar 02, 2020","8,807.62","8,480.76","8,830.45","8,479.61","-","3.85%"
"Feb 28, 2020","8,481.06","8,415.20","8,481.06","8,067.23","-","0.78%"
"Feb 27, 2020","8,415.80","8,624.12","8,683.27","8,415.80","-","-2.46%"
"Feb 26, 2020","8,627.80","9,114.22","9,114.22","8,562.48","-","-5.39%"
"Feb 21, 2020","9,119.58","9,053.04","9,119.58","8,935.98","-","0.72%"
"Feb 20, 2020","9,054.10","9,221.05","9,223.36","9,013.93","-","-1.80%"
"Feb 19, 2020","9,220.16","9,112.55","9,227.50","9,080.82","-","1.18%"
"Feb 18, 2020","9,112.91","9,089.79","9,112.91","9,013.21","-","0.26%"
"Feb 17, 2020","9,089.68","8,974.58","9,089.68","8,964.97","-","1.31%"
"Feb 14, 2020","8,972.32","8,983.27","9,004.71","8,903.38","-","-0.12%"
"Feb 13, 2020","8,983.27","9,002.16","9,002.16","8,862.63","-","-0.26%"
"Feb 12, 2020","9,006.27","8,869.97","9,011.54","8,859.97","-","1.55%"
"Feb 11, 2020","8,868.90","8,657.79","8,868.90","8,657.79","-","2.45%"
"Feb 10, 2020","8,656.77","8,845.79","8,848.66","8,614.99","-","-2.14%"
"Feb 07, 2020","8,845.79","9,003.05","9,004.00","8,833.59","-","-1.75%"
"Feb 06, 2020","9,003.05","9,161.20","9,221.88","8,975.11","-","-1.71%"
"Feb 05, 2020","9,160.07","9,079.38","9,185.93","9,079.38","-","0.91%"
"Feb 04, 2020","9,077.51","8,981.50","9,145.82","8,981.50","-","1.08%"
"Feb 03, 2020","8,980.81","8,841.47","9,014.18","8,835.38","-","1.57%"
"Jan 31, 2020","8,842.16","8,969.72","8,969.72","8,819.95","-","-1.43%"
"Jan 30, 2020","8,970.52","9,064.67","9,064.67","8,804.18","-","-1.06%"
"Jan 29, 2020","9,066.17","9,151.15","9,188.46","9,045.67","-","-0.92%"
"Jan 28, 2020","9,150.16","8,953.63","9,155.43","8,934.92","-","2.21%"
"Jan 27, 2020","8,952.64","9,124.57","9,124.57","8,907.74","-","-1.88%"
"Jan 24, 2020","9,124.63","9,140.34","9,159.28","9,073.99","-","-0.16%"
"Jan 23, 2020","9,139.17","9,069.67","9,139.17","8,946.09","-","0.76%"
"Jan 22, 2020","9,070.14","8,993.89","9,106.99","8,993.89","-","0.87%"
"Jan 21, 2020","8,991.80","9,030.61","9,031.36","8,980.09","-","-0.42%"
"Jan 20, 2020","9,030.03","8,990.60","9,056.90","8,954.35","-","0.44%"
"Jan 17, 2020","8,990.22","8,957.93","8,992.70","8,943.66","-","0.38%"
"Jan 16, 2020","8,956.52","8,909.90","8,968.47","8,890.62","-","0.53%"
"Jan 15, 2020","8,909.70","8,926.08","8,936.55","8,868.73","-","-0.18%"
"Jan 14, 2020","8,926.15","8,879.47","8,926.15","8,815.41","-","0.53%"
"Jan 13, 2020","8,879.47","8,772.60","8,884.10","8,771.92","-","1.22%"
"Jan 10, 2020","8,772.81","8,682.76","8,795.51","8,682.76","-","1.03%"
"Jan 09, 2020","8,683.18","8,617.45","8,684.98","8,596.19","-","0.77%"
"Jan 08, 2020","8,616.57","8,620.91","8,637.34","8,536.36","-","-0.05%"
"Jan 07, 2020","8,620.91","8,625.44","8,627.18","8,535.12","-","-0.04%"
"Jan 06, 2020","8,624.45","8,620.06","8,655.07","8,508.00","-","0.03%"
"Jan 03, 2020","8,621.55","8,679.82","8,679.82","8,546.57","-","-0.68%"
"Jan 02, 2020","8,680.27","8,612.41","8,680.27","8,592.87","-","0.80%"
"Dec 30, 2019","8,611.18","8,593.13","8,652.12","8,569.14","-","0.21%"
"Dec 27, 2019","8,593.13","8,585.52","8,620.34","8,530.66","-","0.09%"
"Dec 26, 2019","8,585.42","8,468.96","8,588.02","8,441.34","-","1.38%"
"Dec 23, 2019","8,468.82","8,336.39","8,468.82","8,330.08","-","1.59%"
"Dec 20, 2019","8,336.47","8,349.33","8,357.94","8,296.26","-","-0.14%"
"Dec 19, 2019","8,348.33","8,265.45","8,350.75","8,235.82","-","1.03%"
"Dec 18, 2019","8,263.52","8,187.23","8,269.52","8,120.17","-","0.93%"
"Dec 17, 2019","8,187.23","8,218.83","8,270.01","8,145.67","-","-0.38%"
"Dec 16, 2019","8,218.83","8,194.40","8,244.46","8,182.05","-","0.30%"
"Dec 13, 2019","8,194.38","8,133.69","8,194.38","8,117.99","-","0.75%"
"Dec 12, 2019","8,133.69","8,190.03","8,213.21","8,114.32","-","-0.69%"
"Dec 11, 2019","8,190.14","8,083.56","8,191.28","8,072.65","-","1.33%"
"Dec 10, 2019","8,082.99","8,075.91","8,083.22","8,026.51","-","0.09%"
"Dec 09, 2019","8,075.99","8,032.06","8,085.61","8,009.17","-","0.54%"
"Dec 06, 2019","8,032.87","7,999.47","8,065.68","7,999.47","-","0.41%"
"Dec 05, 2019","7,999.75","7,924.91","8,002.68","7,901.65","-","0.94%"
"Dec 04, 2019","7,924.91","7,841.57","7,942.16","7,841.57","-","1.08%"
"Dec 03, 2019","7,840.34","7,819.61","7,849.79","7,790.21","-","0.25%"
"Dec 02, 2019","7,820.65","7,825.49","7,894.71","7,805.61","-","-0.06%"
"Nov 29, 2019","7,825.38","7,758.08","7,825.38","7,753.02","-","0.87%"
"Nov 28, 2019","7,758.08","7,661.05","7,758.08","7,642.55","-","1.27%"
"Nov 27, 2019","7,661.05","7,626.53","7,668.96","7,571.99","-","0.49%"
"Nov 26, 2019","7,624.06","7,686.39","7,686.39","7,527.23","-","-0.81%"
"Nov 25, 2019","7,686.39","7,715.67","7,733.24","7,656.15","-","-0.36%"
"Nov 22, 2019","7,713.95","7,644.08","7,713.95","7,610.54","-","0.91%"
"Nov 21, 2019","7,644.08","7,545.35","7,644.87","7,545.35","-","1.30%"
"Nov 19, 2019","7,545.76","7,603.75","7,644.05","7,520.51","-","-0.76%"
"Nov 18, 2019","7,603.75","7,629.37","7,690.66","7,596.65","-","-0.32%"
"Nov 14, 2019","7,628.15","7,574.94","7,633.50","7,565.46","-","0.70%"
"Nov 13, 2019","7,574.89","7,612.27","7,626.75","7,535.79","-","-0.49%"
"Nov 12, 2019","7,612.19","7,682.71","7,689.53","7,551.41","-","-0.92%"
"Nov 11, 2019","7,682.64","7,652.21","7,682.64","7,595.30","-","0.40%"
"Nov 08, 2019","7,652.21","7,778.46","7,778.46","7,612.19","-","-1.64%"
"Nov 07, 2019","7,779.89","7,705.51","7,791.73","7,703.76","-","0.97%"
"Nov 06, 2019","7,705.51","7,686.98","7,714.14","7,629.93","-","0.24%"
"Nov 05, 2019","7,686.98","7,744.54","7,781.69","7,636.43","-","-0.74%"
"Nov 04, 2019","7,744.64","7,756.69","7,808.45","7,720.49","-","-0.16%"
"Nov 01, 2019","7,756.89","7,736.25","7,791.59","7,711.95","-","0.27%"
"Oct 31, 2019","7,736.08","7,703.82","7,748.82","7,668.84","-","0.42%"
"Oct 30, 2019","7,703.93","7,543.51","7,703.93","7,521.24","-","2.13%"
"Oct 29, 2019","7,543.51","7,491.34","7,561.95","7,460.19","-","0.70%"
"Oct 28, 2019","7,491.34","7,438.74","7,492.20","7,415.22","-","0.72%"
"Oct 25, 2019","7,437.99","7,519.94","7,537.41","7,427.54","-","-1.09%"
"Oct 24, 2019","7,519.71","7,523.45","7,530.61","7,461.97","-","-0.04%"
"Oct 23, 2019","7,522.52","7,519.36","7,533.51","7,434.09","-","0.04%"
"Oct 22, 2019","7,519.47","7,545.70","7,589.63","7,498.11","-","-0.35%"
"Oct 21, 2019","7,545.70","7,500.53","7,546.07","7,465.30","-","0.61%"
"Oct 18, 2019","7,499.75","7,421.09","7,500.33","7,421.09","-","1.06%"
"Oct 17, 2019","7,420.85","7,422.11","7,431.04","7,386.72","-","-0.02%"
"Oct 16, 2019","7,422.62","7,334.66","7,428.37","7,231.89","-","1.20%"
"Oct 15, 2019","7,334.66","7,434.26","7,494.53","7,305.19","-","-1.35%"
"Oct 14, 2019","7,435.34","7,431.79","7,453.60","7,388.12","-","0.06%"
"Oct 11, 2019","7,430.75","7,352.89","7,468.24","7,352.89","-","1.07%"
"Oct 10, 2019","7,351.96","7,387.75","7,427.82","7,344.66","-","-0.48%"
"Oct 09, 2019","7,387.75","7,335.97","7,414.84","7,329.29","-","0.74%"
"Oct 08, 2019","7,333.68","7,344.53","7,419.06","7,315.46","-","-0.15%"
"Oct 07, 2019","7,344.53","7,566.83","7,566.83","7,344.53","-","-2.95%"
"Oct 04, 2019","7,567.87","7,507.28","7,567.87","7,460.97","-","0.81%"
"Oct 03, 2019","7,507.34","7,458.28","7,507.34","7,392.48","-","0.64%"
"Oct 02, 2019","7,459.71","7,593.46","7,593.46","7,448.32","-","-1.80%"
"Oct 01, 2019","7,596.60","7,620.90","7,631.17","7,534.64","-","-0.32%"
"Sep 30, 2019","7,620.90","7,524.80","7,631.32","7,520.65","-","1.28%"
"Sep 27, 2019","7,524.44","7,536.83","7,552.86","7,483.74","-","-0.15%"
"Sep 26, 2019","7,535.75","7,492.14","7,551.53","7,442.57","-","0.61%"
"Sep 25, 2019","7,490.39","7,560.24","7,560.24","7,406.82","-","-0.94%"
"Sep 24, 2019","7,561.80","7,601.14","7,632.51","7,524.62","-","-0.51%"
"Sep 23, 2019","7,600.36","7,631.41","7,643.47","7,551.89","-","-0.40%"
"Sep 20, 2019","7,630.76","7,751.97","7,789.58","7,593.11","-","-1.56%"
"Sep 19, 2019","7,751.97","7,683.32","7,802.78","7,683.32","-","0.92%"
"Sep 18, 2019","7,681.64","7,681.73","7,692.18","7,627.84","-","-0.00%"
"Sep 17, 2019","7,681.73","7,619.08","7,684.33","7,586.39","-","0.82%"
"Sep 16, 2019","7,619.08","7,652.97","7,664.68","7,563.87","-","-0.43%"
"Sep 13, 2019","7,652.27","7,745.10","7,761.90","7,605.70","-","-1.19%"
"Sep 12, 2019","7,744.08","7,714.51","7,781.86","7,714.51","-","0.41%"
"Sep 11, 2019","7,712.19","7,541.59","7,712.34","7,541.59","-","2.27%"
"Sep 10, 2019","7,541.21","7,529.55","7,541.21","7,453.54","-","0.12%"
"Sep 09, 2019","7,532.30","7,704.60","7,733.15","7,522.00","-","-2.24%"
"Sep 06, 2019","7,704.60","7,780.17","7,816.74","7,665.80","-","-0.94%"
"Sep 05, 2019","7,777.75","7,760.96","7,813.61","7,757.69","-","0.22%"
"Sep 04, 2019","7,760.96","7,684.75","7,760.96","7,642.03","-","1.01%"
"Sep 03, 2019","7,683.36","7,796.00","7,812.03","7,650.11","-","-1.44%"
"Sep 02, 2019","7,796.00","7,753.03","7,825.40","7,730.54","-","0.57%"
"Aug 30, 2019","7,752.11","7,573.16","7,752.11","7,573.16","-","2.38%"
"Aug 29, 2019","7,572.03","7,465.04","7,586.49","7,458.73","-","1.44%"
"Aug 28, 2019","7,464.60","7,441.04","7,464.60","7,344.68","-","0.32%"
"Aug 27, 2019","7,441.04","7,448.72","7,485.45","7,349.85","-","-0.12%"
"Aug 26, 2019","7,449.69","7,562.82","7,605.64","7,413.78","-","-1.42%"
"Aug 23, 2019","7,556.70","7,730.72","7,731.73","7,511.77","-","-2.32%"
"Aug 22, 2019","7,736.19","7,734.65","7,774.41","7,689.69","-","0.02%"
"Aug 21, 2019","7,734.65","7,496.57","7,740.80","7,477.76","-","3.18%"
"Aug 20, 2019","7,496.04","7,554.27","7,564.23","7,390.94","-","-0.76%"
"Aug 19, 2019","7,553.54","7,563.57","7,643.98","7,505.12","-","-0.07%"
"Aug 16, 2019","7,558.92","7,458.04","7,574.46","7,458.04","-","1.37%"
"Aug 15, 2019","7,456.81","7,631.07","7,666.70","7,362.07","-","-2.27%"
"Aug 14, 2019","7,629.67","7,841.98","7,841.98","7,591.36","-","-2.69%"
"Aug 13, 2019","7,840.69","7,770.78","7,841.99","7,687.66","-","0.88%"
"Aug 12, 2019","7,772.17","7,862.79","7,862.79","7,691.48","-","-1.16%"
"Aug 09, 2019","7,863.38","7,782.34","7,864.32","7,748.24","-","1.04%"
"Aug 08, 2019","7,782.26","7,668.71","7,794.73","7,668.71","-","1.48%"
"Aug 07, 2019","7,668.71","7,726.81","7,726.81","7,567.21","-","-0.76%"
"Aug 06, 2019","7,727.31","7,580.24","7,727.31","7,567.66","-","1.96%"
"Aug 05, 2019","7,578.69","7,711.00","7,711.78","7,544.64","-","-1.74%"
"Aug 02, 2019","7,713.27","7,690.09","7,754.41","7,597.20","-","0.30%"
"Aug 01, 2019","7,690.09","7,546.38","7,767.87","7,546.38","-","1.90%"
"Jul 31, 2019","7,546.38","7,537.84","7,557.51","7,470.43","-","0.10%"
"Jul 30, 2019","7,539.05","7,450.15","7,539.05","7,436.08","-","1.20%"
"Jul 29, 2019","7,449.65","7,423.57","7,449.65","7,368.03","-","0.36%"
"Jul 26, 2019","7,422.93","7,393.16","7,444.91","7,393.16","-","0.40%"
"Jul 25, 2019","7,393.37","7,475.94","7,498.26","7,370.68","-","-1.08%"
"Jul 24, 2019","7,473.86","7,548.44","7,567.24","7,458.12","-","-0.99%"
"Jul 23, 2019","7,548.92","7,546.92","7,583.49","7,527.21","-","0.03%"
"Jul 22, 2019","7,546.92","7,551.84","7,592.96","7,512.67","-","-0.05%"
"Jul 19, 2019","7,551.04","7,640.47","7,641.20","7,529.21","-","-1.17%"
"Jul 18, 2019","7,640.69","7,572.98","7,640.69","7,572.98","-","0.90%"
"Jul 17, 2019","7,572.32","7,519.03","7,588.27","7,519.03","-","0.72%"
"Jul 16, 2019","7,517.88","7,496.56","7,517.88","7,463.73","-","0.29%"
"Jul 15, 2019","7,496.32","7,583.51","7,602.86","7,482.72","-","-1.13%"
"Jul 12, 2019","7,582.04","7,639.91","7,666.17","7,541.05","-","-0.76%"
"Jul 11, 2019","7,639.91","7,541.58","7,639.91","7,536.77","-","1.31%"
"Jul 10, 2019","7,540.87","7,431.80","7,587.64","7,431.80","-","1.48%"
"Jul 08, 2019","7,431.09","7,341.28","7,442.44","7,341.28","-","1.20%"
"Jul 05, 2019","7,342.98","7,345.70","7,352.19","7,265.79","-","-0.04%"
"Jul 04, 2019","7,345.70","7,248.01","7,345.70","7,248.01","-","1.35%"
"Jul 03, 2019","7,248.01","7,142.48","7,248.01","7,091.36","-","1.47%"
"Jul 02, 2019","7,142.88","7,196.79","7,214.65","7,105.62","-","-0.74%"
"Jul 01, 2019","7,196.39","7,188.78","7,253.99","7,174.84","-","0.11%"
"Jun 28, 2019","7,188.78","7,067.49","7,206.15","7,067.49","-","1.74%"
"Jun 27, 2019","7,065.66","6,983.44","7,065.66","6,893.88","-","1.26%"
"Jun 26, 2019","6,977.91","6,965.56","7,016.34","6,934.41","-","0.19%"
"Jun 25, 2019","6,964.89","7,088.25","7,090.14","6,932.93","-","-1.74%"
"Jun 24, 2019","7,088.25","7,099.32","7,165.46","7,042.70","-","-0.15%"
"Jun 21, 2019","7,098.78","7,116.58","7,161.80","7,081.05","-","-0.23%"
"Jun 19, 2019","7,115.42","7,044.20","7,115.42","7,007.88","-","1.01%"
"Jun 18, 2019","7,044.20","7,029.78","7,102.99","7,014.98","-","0.24%"
"Jun 17, 2019","7,027.06","7,044.23","7,068.40","7,023.28","-","-0.23%"
"Jun 14, 2019","7,043.30","7,095.17","7,135.61","7,029.11","-","-0.73%"
"Jun 13, 2019","7,095.17","7,023.31","7,134.50","7,022.90","-","1.04%"
"Jun 12, 2019","7,021.88","7,096.80","7,116.58","7,003.10","-","-1.06%"
"Jun 11, 2019","7,096.80","7,045.91","7,096.80","7,012.64","-","0.72%"
"Jun 10, 2019","7,045.79","7,145.43","7,145.43","7,034.39","-","-1.41%"
"Jun 07, 2019","7,146.52","7,154.42","7,216.99","7,135.39","-","-0.10%"
"Jun 06, 2019","7,153.55","7,088.32","7,165.60","7,088.32","-","0.92%"
"Jun 05, 2019","7,088.32","7,112.47","7,134.56","7,071.12","-","-0.34%"
"Jun 04, 2019","7,112.47","6,974.04","7,112.47","6,974.04","-","2.00%"
"Jun 03, 2019","6,973.17","6,953.95","7,006.37","6,931.91","-","0.30%"
"May 31, 2019","6,952.16","6,793.13","6,958.80","6,771.00","-","2.34%"
"May 30, 2019","6,793.13","6,698.96","6,834.24","6,677.62","-","1.40%"
"May 29, 2019","6,699.62","6,629.78","6,719.04","6,624.95","-","1.05%"
"May 28, 2019","6,630.20","6,557.30","6,665.11","6,516.76","-","1.11%"
"May 27, 2019","6,557.38","6,493.33","6,599.72","6,493.33","-","1.00%"
"May 24, 2019","6,492.16","6,548.31","6,588.98","6,485.64","-","-0.83%"
"May 23, 2019","6,546.63","6,625.54","6,627.27","6,537.30","-","-1.23%"
"May 22, 2019","6,628.43","6,616.18","6,689.16","6,590.53","-","0.22%"
"May 21, 2019","6,614.07","6,480.06","6,614.07","6,479.84","-","2.09%"
"May 20, 2019","6,478.47","6,297.13","6,478.47","6,296.98","-","2.88%"
"May 17, 2019","6,297.09","6,368.81","6,398.58","6,239.21","-","-1.13%"
"May 16, 2019","6,369.22","6,511.10","6,511.10","6,366.96","-","-2.17%"
"May 15, 2019","6,510.46","6,530.70","6,547.79","6,397.58","-","-0.36%"
"May 14, 2019","6,534.22","6,461.96","6,535.00","6,455.25","-","1.09%"
"May 13, 2019","6,463.60","6,655.89","6,655.89","6,452.72","-","-2.89%"
"May 10, 2019","6,655.89","6,726.14","6,727.47","6,602.14","-","-1.05%"
"May 09, 2019","6,726.29","6,736.08","6,743.79","6,658.14","-","-0.15%"
"May 08, 2019","6,736.08","6,701.05","6,783.74","6,701.05","-","0.53%"
"May 07, 2019","6,700.47","6,673.09","6,700.47","6,588.22","-","0.41%"
"May 06, 2019","6,673.14","6,654.57","6,674.16","6,590.57","-","0.24%"
"May 03, 2019","6,657.04","6,689.44","6,722.35","6,656.14","-","-0.48%"
"May 02, 2019","6,689.27","6,716.38","6,716.38","6,637.27","-","-0.41%"
"Apr 30, 2019","6,716.94","6,658.87","6,716.94","6,606.66","-","0.88%"
"Apr 29, 2019","6,658.27","6,628.28","6,723.10","6,628.28","-","0.45%"
"Apr 26, 2019","6,628.28","6,594.60","6,648.15","6,590.72","-","0.52%"
"Apr 25, 2019","6,593.98","6,485.87","6,610.08","6,477.20","-","1.67%"
"Apr 24, 2019","6,485.87","6,526.16","6,529.84","6,417.81","-","-0.61%"
"Apr 23, 2019","6,525.98","6,474.30","6,559.14","6,471.83","-","0.88%"
"Apr 22, 2019","6,468.79","6,419.83","6,485.26","6,378.68","-","0.76%"
"Apr 18, 2019","6,419.83","6,333.75","6,435.67","6,319.53","-","1.37%"
"Apr 17, 2019","6,333.10","6,396.54","6,435.92","6,259.73","-","-0.99%"
"Apr 16, 2019","6,396.68","6,330.44","6,445.19","6,329.50","-","1.05%"
"Apr 15, 2019","6,329.95","6,263.44","6,352.39","6,263.44","-","1.06%"
"Apr 12, 2019","6,263.77","6,378.46","6,382.02","6,239.74","-","-1.83%"
"Apr 11, 2019","6,380.24","6,455.48","6,460.28","6,332.45","-","-1.17%"
"Apr 10, 2019","6,455.61","6,411.77","6,478.67","6,411.37","-","0.70%"
"Apr 09, 2019","6,410.63","6,518.46","6,518.46","6,369.83","-","-1.64%"
"Apr 08, 2019","6,517.71","6,509.32","6,577.62","6,494.46","-","0.16%"
"Apr 05, 2019","6,507.49","6,465.82","6,551.63","6,465.82","-","0.68%"
"Apr 04, 2019","6,463.64","6,380.69","6,471.86","6,378.24","-","1.30%"
"Apr 03, 2019","6,380.77","6,372.29","6,459.87","6,345.18","-","0.15%"
"Apr 02, 2019","6,371.00","6,468.10","6,489.47","6,348.29","-","-1.50%"
"Apr 01, 2019","6,468.10","6,423.53","6,481.77","6,399.21","-","0.74%"
