"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 17, 2020","2,529.19","2,425.66","2,553.93","2,367.04","-","6.00%"
"Mar 16, 2020","2,386.13","2,508.59","2,562.98","2,380.94","-","-11.98%"
"Mar 13, 2020","2,711.02","2,569.99","2,711.33","2,492.37","-","9.29%"
"Mar 12, 2020","2,480.64","2,630.86","2,660.95","2,478.86","-","-9.51%"
"Mar 11, 2020","2,741.38","2,825.60","2,825.60","2,707.22","-","-4.89%"
"Mar 10, 2020","2,882.23","2,813.48","2,882.59","2,734.00","-","4.94%"
"Mar 09, 2020","2,746.56","2,863.89","2,863.89","2,734.43","-","-7.60%"
"Mar 06, 2020","2,972.37","2,954.20","2,985.93","2,901.54","-","-1.71%"
"Mar 05, 2020","3,023.94","3,075.70","3,083.04","2,999.83","-","-3.39%"
"Mar 04, 2020","3,130.12","3,045.75","3,130.97","3,034.38","-","4.22%"
"Mar 03, 2020","3,003.37","3,096.46","3,136.72","2,976.63","-","-2.81%"
"Mar 02, 2020","3,090.23","2,974.28","3,090.96","2,945.19","-","4.60%"
"Feb 28, 2020","2,954.22","2,916.90","2,959.72","2,855.84","-","-0.82%"
"Feb 27, 2020","2,978.76","3,062.54","3,097.07","2,977.39","-","-4.42%"
"Feb 26, 2020","3,116.39","3,139.90","3,182.51","3,108.99","-","-0.38%"
"Feb 25, 2020","3,128.21","3,238.94","3,246.99","3,118.77","-","-3.03%"
"Feb 24, 2020","3,225.89","3,257.61","3,259.81","3,214.65","-","-3.35%"
"Feb 21, 2020","3,337.75","3,360.50","3,360.76","3,328.45","-","-1.05%"
"Feb 20, 2020","3,373.23","3,380.45","3,389.15","3,341.02","-","-0.38%"
"Feb 19, 2020","3,386.15","3,380.39","3,393.52","3,378.83","-","0.47%"
"Feb 18, 2020","3,370.29","3,369.04","3,375.01","3,355.61","-","-0.29%"
"Feb 14, 2020","3,380.16","3,378.08","3,380.69","3,366.15","-","0.18%"
"Feb 13, 2020","3,373.94","3,365.90","3,385.09","3,360.52","-","-0.16%"
"Feb 12, 2020","3,379.45","3,370.50","3,381.47","3,369.72","-","0.65%"
"Feb 11, 2020","3,357.75","3,365.87","3,375.63","3,352.72","-","0.17%"
"Feb 10, 2020","3,352.09","3,318.28","3,352.26","3,317.77","-","0.73%"
"Feb 07, 2020","3,327.71","3,335.54","3,341.42","3,322.12","-","-0.54%"
"Feb 06, 2020","3,345.78","3,344.92","3,347.96","3,334.39","-","0.33%"
"Feb 05, 2020","3,334.69","3,324.91","3,337.58","3,313.75","-","1.13%"
"Feb 04, 2020","3,297.59","3,280.61","3,306.92","3,280.61","-","1.50%"
"Feb 03, 2020","3,248.92","3,235.66","3,268.44","3,235.66","-","0.73%"
"Jan 31, 2020","3,225.52","3,282.33","3,282.33","3,214.68","-","-1.77%"
"Jan 30, 2020","3,283.66","3,256.45","3,285.91","3,242.80","-","0.31%"
"Jan 29, 2020","3,273.40","3,289.46","3,293.47","3,271.89","-","-0.09%"
"Jan 28, 2020","3,276.24","3,255.35","3,285.78","3,253.22","-","1.01%"
"Jan 27, 2020","3,243.63","3,247.16","3,258.85","3,234.50","-","-1.57%"
"Jan 24, 2020","3,295.47","3,333.10","3,333.18","3,281.53","-","-0.90%"
"Jan 23, 2020","3,325.54","3,315.77","3,326.88","3,301.87","-","0.11%"
"Jan 22, 2020","3,321.75","3,330.02","3,337.77","3,320.04","-","0.03%"
"Jan 21, 2020","3,320.79","3,321.03","3,329.79","3,316.61","-","-0.27%"
"Jan 17, 2020","3,329.62","3,323.66","3,329.88","3,318.86","-","0.39%"
"Jan 16, 2020","3,316.81","3,302.97","3,317.11","3,302.82","-","0.84%"
"Jan 15, 2020","3,289.29","3,282.27","3,298.66","3,280.69","-","0.19%"
"Jan 14, 2020","3,283.15","3,285.35","3,294.25","3,277.19","-","-0.15%"
"Jan 13, 2020","3,288.13","3,271.13","3,288.13","3,268.43","-","0.70%"
"Jan 10, 2020","3,265.35","3,281.81","3,282.99","3,260.86","-","-0.29%"
"Jan 09, 2020","3,274.70","3,266.03","3,275.58","3,263.67","-","0.67%"
"Jan 08, 2020","3,253.05","3,238.59","3,267.07","3,236.67","-","0.49%"
"Jan 07, 2020","3,237.18","3,241.86","3,244.91","3,232.43","-","-0.28%"
"Jan 06, 2020","3,246.28","3,217.55","3,246.84","3,214.64","-","0.35%"
"Jan 03, 2020","3,234.85","3,226.36","3,246.15","3,222.34","-","-0.71%"
"Jan 02, 2020","3,257.85","3,244.67","3,258.14","3,235.53","-","0.84%"
"Dec 31, 2019","3,230.78","3,215.18","3,231.72","3,212.03","-","0.29%"
"Dec 30, 2019","3,221.29","3,240.09","3,240.92","3,216.57","-","-0.58%"
"Dec 27, 2019","3,240.02","3,247.23","3,247.93","3,234.37","-","0.00%"
"Dec 26, 2019","3,239.91","3,227.20","3,240.08","3,227.20","-","0.51%"
"Dec 24, 2019","3,223.38","3,225.45","3,226.43","3,220.51","-","-0.02%"
"Dec 23, 2019","3,224.01","3,226.05","3,227.78","3,222.30","-","0.09%"
"Dec 20, 2019","3,221.22","3,223.33","3,225.65","3,216.03","-","0.49%"
"Dec 19, 2019","3,205.37","3,192.32","3,205.48","3,192.32","-","0.45%"
"Dec 18, 2019","3,191.14","3,195.21","3,198.48","3,191.14","-","-0.04%"
"Dec 17, 2019","3,192.52","3,195.40","3,198.22","3,191.03","-","0.03%"
"Dec 16, 2019","3,191.45","3,183.63","3,197.71","3,183.63","-","0.71%"
"Dec 13, 2019","3,168.80","3,166.65","3,182.68","3,156.51","-","0.01%"
"Dec 12, 2019","3,168.57","3,141.23","3,176.28","3,138.47","-","0.86%"
"Dec 11, 2019","3,141.63","3,135.75","3,143.98","3,133.21","-","0.29%"
"Dec 10, 2019","3,132.52","3,135.36","3,142.12","3,126.09","-","-0.11%"
"Dec 09, 2019","3,135.96","3,141.86","3,148.87","3,135.46","-","-0.32%"
"Dec 06, 2019","3,145.91","3,134.62","3,150.60","3,134.62","-","0.91%"
"Dec 05, 2019","3,117.43","3,119.21","3,119.45","3,103.76","-","0.15%"
"Dec 04, 2019","3,112.76","3,103.50","3,119.38","3,102.53","-","0.63%"
"Dec 03, 2019","3,093.20","3,087.41","3,094.97","3,070.33","-","-0.66%"
"Dec 02, 2019","3,113.87","3,143.85","3,144.31","3,110.78","-","-0.86%"
"Nov 29, 2019","3,140.98","3,147.18","3,150.30","3,139.34","-","-0.40%"
"Nov 27, 2019","3,153.63","3,145.49","3,154.26","3,143.41","-","0.42%"
"Nov 26, 2019","3,140.52","3,134.85","3,142.69","3,131.00","-","0.22%"
"Nov 25, 2019","3,133.64","3,117.44","3,133.83","3,117.44","-","0.75%"
"Nov 22, 2019","3,110.29","3,111.41","3,112.87","3,099.26","-","0.22%"
"Nov 21, 2019","3,103.54","3,108.49","3,110.11","3,094.55","-","-0.16%"
"Nov 20, 2019","3,108.46","3,114.66","3,118.97","3,091.41","-","-0.38%"
"Nov 19, 2019","3,120.18","3,127.45","3,127.64","3,113.47","-","-0.06%"
"Nov 18, 2019","3,122.03","3,117.91","3,124.17","3,112.06","-","0.05%"
"Nov 15, 2019","3,120.46","3,107.92","3,120.46","3,104.60","-","0.77%"
"Nov 14, 2019","3,096.63","3,090.75","3,098.20","3,083.26","-","0.08%"
"Nov 13, 2019","3,094.04","3,084.18","3,098.06","3,078.80","-","0.07%"
"Nov 12, 2019","3,091.84","3,089.28","3,102.61","3,084.73","-","0.16%"
"Nov 11, 2019","3,087.01","3,080.33","3,088.33","3,075.82","-","-0.20%"
"Nov 08, 2019","3,093.08","3,081.25","3,093.09","3,073.58","-","0.26%"
"Nov 07, 2019","3,085.18","3,087.02","3,097.77","3,080.23","-","0.27%"
"Nov 06, 2019","3,076.78","3,075.10","3,078.34","3,065.89","-","0.07%"
"Nov 05, 2019","3,074.62","3,080.80","3,083.95","3,072.15","-","-0.12%"
"Nov 04, 2019","3,078.27","3,078.96","3,085.20","3,074.87","-","0.37%"
"Nov 01, 2019","3,066.91","3,050.72","3,066.95","3,050.72","-","0.97%"
"Oct 31, 2019","3,037.56","3,046.90","3,046.90","3,023.19","-","-0.30%"
"Oct 30, 2019","3,046.77","3,039.74","3,050.10","3,025.96","-","0.33%"
"Oct 29, 2019","3,036.89","3,035.39","3,047.87","3,034.81","-","-0.08%"
"Oct 28, 2019","3,039.42","3,032.12","3,044.08","3,032.12","-","0.56%"
"Oct 25, 2019","3,022.55","3,003.32","3,027.39","3,001.94","-","0.41%"
"Oct 24, 2019","3,010.29","3,014.78","3,016.07","3,000.42","-","0.19%"
"Oct 23, 2019","3,004.52","2,994.01","3,004.78","2,991.21","-","0.28%"
"Oct 22, 2019","2,995.99","3,010.73","3,014.57","2,995.04","-","-0.36%"
"Oct 21, 2019","3,006.72","2,996.48","3,007.33","2,995.35","-","0.69%"
"Oct 18, 2019","2,986.20","2,996.84","3,000.00","2,976.31","-","-0.39%"
"Oct 17, 2019","2,997.95","3,000.77","3,008.29","2,991.79","-","0.28%"
"Oct 16, 2019","2,989.69","2,989.68","2,997.54","2,985.20","-","-0.20%"
"Oct 15, 2019","2,995.68","2,973.61","3,003.28","2,973.61","-","1.00%"
"Oct 14, 2019","2,966.15","2,965.81","2,972.84","2,962.94","-","-0.14%"
"Oct 11, 2019","2,970.27","2,963.07","2,993.28","2,963.07","-","1.09%"
"Oct 10, 2019","2,938.13","2,918.55","2,948.46","2,917.12","-","0.64%"
"Oct 09, 2019","2,919.40","2,911.10","2,929.32","2,907.41","-","0.91%"
"Oct 08, 2019","2,893.06","2,920.40","2,925.47","2,892.66","-","-1.56%"
"Oct 07, 2019","2,938.79","2,944.23","2,959.75","2,935.68","-","-0.45%"
"Oct 04, 2019","2,952.01","2,918.56","2,953.74","2,918.56","-","1.42%"
"Oct 03, 2019","2,910.63","2,885.38","2,911.13","2,855.94","-","0.80%"
"Oct 02, 2019","2,887.61","2,924.78","2,924.78","2,874.93","-","-1.79%"
"Oct 01, 2019","2,940.25","2,983.69","2,992.53","2,938.70","-","-1.23%"
"Sep 30, 2019","2,976.74","2,967.07","2,983.85","2,967.07","-","0.50%"
"Sep 27, 2019","2,961.79","2,985.47","2,987.31","2,945.53","-","-0.53%"
"Sep 26, 2019","2,977.62","2,985.73","2,987.28","2,963.71","-","-0.24%"
"Sep 25, 2019","2,984.87","2,968.35","2,989.82","2,952.86","-","0.62%"
"Sep 24, 2019","2,966.60","3,002.43","3,007.98","2,957.73","-","-0.84%"
"Sep 23, 2019","2,991.78","2,983.50","2,999.15","2,982.23","-","-0.01%"
"Sep 20, 2019","2,992.07","3,008.42","3,016.37","2,984.68","-","-0.49%"
"Sep 19, 2019","3,006.79","3,010.36","3,021.99","3,003.16","-","0.00%"
"Sep 18, 2019","3,006.73","3,001.50","3,007.83","2,978.57","-","0.03%"
"Sep 17, 2019","3,005.70","2,995.67","3,006.21","2,993.73","-","0.26%"
"Sep 16, 2019","2,997.96","2,996.41","3,002.19","2,990.67","-","-0.31%"
"Sep 13, 2019","3,007.39","3,012.21","3,017.33","3,002.90","-","-0.07%"
"Sep 12, 2019","3,009.57","3,009.08","3,020.74","3,000.92","-","0.29%"
"Sep 11, 2019","3,000.93","2,981.41","3,000.93","2,975.31","-","0.72%"
"Sep 10, 2019","2,979.39","2,971.01","2,979.39","2,957.01","-","0.03%"
"Sep 09, 2019","2,978.43","2,988.43","2,989.43","2,969.39","-","-0.01%"
"Sep 06, 2019","2,978.71","2,980.33","2,985.03","2,972.51","-","0.09%"
"Sep 05, 2019","2,976.00","2,960.60","2,985.86","2,960.60","-","1.30%"
"Sep 04, 2019","2,937.78","2,924.67","2,938.84","2,921.86","-","1.08%"
"Sep 03, 2019","2,906.27","2,909.01","2,914.39","2,891.85","-","-0.69%"
"Aug 30, 2019","2,926.46","2,937.09","2,940.43","2,913.32","-","0.06%"
"Aug 29, 2019","2,924.58","2,910.37","2,930.50","2,905.67","-","1.27%"
"Aug 28, 2019","2,887.94","2,861.28","2,890.03","2,853.05","-","0.65%"
"Aug 27, 2019","2,869.16","2,893.14","2,898.79","2,860.59","-","-0.32%"
"Aug 26, 2019","2,878.38","2,866.70","2,879.27","2,856.00","-","1.10%"
"Aug 23, 2019","2,847.11","2,911.07","2,927.01","2,834.97","-","-2.59%"
"Aug 22, 2019","2,922.95","2,930.94","2,939.08","2,904.51","-","-0.05%"
"Aug 21, 2019","2,924.43","2,922.04","2,928.73","2,917.91","-","0.82%"
"Aug 20, 2019","2,900.51","2,919.01","2,923.63","2,899.60","-","-0.79%"
"Aug 19, 2019","2,923.65","2,913.48","2,931.00","2,913.48","-","1.21%"
"Aug 16, 2019","2,888.68","2,864.74","2,893.63","2,864.74","-","1.44%"
"Aug 15, 2019","2,847.60","2,846.20","2,856.67","2,825.51","-","0.25%"
"Aug 14, 2019","2,840.60","2,894.15","2,894.15","2,839.64","-","-2.93%"
"Aug 13, 2019","2,926.32","2,880.72","2,943.31","2,877.05","-","1.48%"
"Aug 12, 2019","2,883.75","2,907.07","2,907.58","2,873.14","-","-1.20%"
"Aug 09, 2019","2,918.65","2,930.51","2,935.75","2,900.15","-","-0.66%"
"Aug 08, 2019","2,938.09","2,896.21","2,938.72","2,894.47","-","1.88%"
"Aug 07, 2019","2,883.98","2,858.65","2,892.17","2,825.71","-","0.08%"
"Aug 06, 2019","2,881.77","2,861.18","2,884.40","2,847.42","-","1.30%"
"Aug 05, 2019","2,844.74","2,898.07","2,898.07","2,822.12","-","-2.98%"
"Aug 02, 2019","2,932.05","2,943.90","2,945.50","2,914.11","-","-0.73%"
"Aug 01, 2019","2,953.56","2,980.32","3,013.59","2,945.23","-","-0.90%"
"Jul 31, 2019","2,980.38","3,016.22","3,017.40","2,958.08","-","-1.09%"
"Jul 30, 2019","3,013.18","3,007.66","3,017.19","3,000.94","-","-0.26%"
"Jul 29, 2019","3,020.97","3,024.47","3,025.61","3,014.30","-","-0.16%"
"Jul 26, 2019","3,025.86","3,013.25","3,027.98","3,012.59","-","0.74%"
"Jul 25, 2019","3,003.67","3,016.26","3,016.31","2,997.24","-","-0.53%"
"Jul 24, 2019","3,019.56","2,998.77","3,019.59","2,996.82","-","0.47%"
"Jul 23, 2019","3,005.47","2,994.74","3,005.90","2,988.56","-","0.68%"
"Jul 22, 2019","2,985.03","2,981.93","2,990.71","2,976.65","-","0.28%"
"Jul 19, 2019","2,976.61","3,004.26","3,006.02","2,975.86","-","-0.62%"
"Jul 18, 2019","2,995.11","2,978.87","2,998.28","2,973.09","-","0.36%"
"Jul 17, 2019","2,984.42","3,005.10","3,005.26","2,984.25","-","-0.65%"
"Jul 16, 2019","3,004.04","3,012.13","3,015.02","3,001.15","-","-0.34%"
"Jul 15, 2019","3,014.30","3,017.80","3,017.80","3,008.77","-","0.02%"
"Jul 12, 2019","3,013.77","3,003.36","3,013.92","3,001.87","-","0.46%"
"Jul 11, 2019","2,999.91","2,999.62","3,002.33","2,988.80","-","0.23%"
"Jul 10, 2019","2,993.07","2,989.30","3,002.98","2,984.62","-","0.45%"
"Jul 09, 2019","2,979.63","2,965.52","2,981.90","2,963.44","-","0.12%"
"Jul 08, 2019","2,975.95","2,979.77","2,980.76","2,970.09","-","-0.48%"
"Jul 05, 2019","2,990.41","2,984.25","2,994.03","2,967.97","-","-0.18%"
"Jul 03, 2019","2,995.82","2,978.08","2,995.84","2,977.96","-","0.77%"
"Jul 02, 2019","2,973.01","2,964.66","2,973.21","2,955.92","-","0.29%"
"Jul 01, 2019","2,964.33","2,971.41","2,977.93","2,952.22","-","0.77%"
"Jun 28, 2019","2,941.76","2,932.94","2,943.98","2,929.05","-","0.58%"
"Jun 27, 2019","2,924.92","2,919.66","2,929.30","2,918.57","-","0.38%"
"Jun 26, 2019","2,913.78","2,926.07","2,932.59","2,912.99","-","-0.12%"
"Jun 25, 2019","2,917.38","2,945.78","2,946.52","2,916.01","-","-0.95%"
"Jun 24, 2019","2,945.35","2,951.42","2,954.92","2,944.05","-","-0.17%"
"Jun 21, 2019","2,950.46","2,952.71","2,964.15","2,946.87","-","-0.13%"
"Jun 20, 2019","2,954.18","2,949.60","2,958.06","2,931.50","-","0.95%"
"Jun 19, 2019","2,926.46","2,920.55","2,931.74","2,911.43","-","0.30%"
"Jun 18, 2019","2,917.75","2,906.71","2,930.79","2,905.44","-","0.97%"
"Jun 17, 2019","2,889.67","2,889.75","2,897.27","2,887.30","-","0.09%"
"Jun 14, 2019","2,886.98","2,886.82","2,894.45","2,879.62","-","-0.16%"
"Jun 13, 2019","2,891.64","2,886.24","2,895.24","2,881.99","-","0.41%"
"Jun 12, 2019","2,879.84","2,882.73","2,888.57","2,874.68","-","-0.20%"
"Jun 11, 2019","2,885.72","2,903.27","2,910.61","2,878.53","-","-0.03%"
"Jun 10, 2019","2,886.73","2,885.83","2,904.77","2,885.51","-","0.47%"
"Jun 07, 2019","2,873.34","2,852.87","2,884.97","2,852.87","-","1.05%"
"Jun 06, 2019","2,843.49","2,828.51","2,852.10","2,822.45","-","0.61%"
"Jun 05, 2019","2,826.15","2,818.09","2,827.28","2,800.92","-","0.82%"
"Jun 04, 2019","2,803.27","2,762.64","2,804.49","2,762.64","-","2.14%"
"Jun 03, 2019","2,744.45","2,751.53","2,763.07","2,728.81","-","-0.28%"
"May 31, 2019","2,752.06","2,766.15","2,768.98","2,750.52","-","-1.32%"
"May 30, 2019","2,788.86","2,786.94","2,799.00","2,776.74","-","0.21%"
"May 29, 2019","2,783.02","2,790.25","2,792.03","2,766.06","-","-0.69%"
"May 28, 2019","2,802.39","2,830.03","2,840.51","2,801.58","-","-0.84%"
"May 24, 2019","2,826.06","2,832.41","2,841.36","2,820.19","-","0.14%"
"May 23, 2019","2,822.24","2,836.70","2,836.70","2,805.49","-","-1.19%"
"May 22, 2019","2,856.27","2,856.06","2,865.47","2,851.11","-","-0.28%"
"May 21, 2019","2,864.36","2,854.02","2,868.88","2,854.02","-","0.85%"
"May 20, 2019","2,840.23","2,841.94","2,853.86","2,831.29","-","-0.67%"
"May 17, 2019","2,859.53","2,858.60","2,885.48","2,854.23","-","-0.58%"
"May 16, 2019","2,876.32","2,855.80","2,892.15","2,855.80","-","0.89%"
"May 15, 2019","2,850.96","2,820.38","2,858.68","2,815.08","-","0.58%"
"May 14, 2019","2,834.41","2,820.12","2,852.54","2,820.12","-","0.80%"
"May 13, 2019","2,811.87","2,840.19","2,840.19","2,801.43","-","-2.41%"
"May 10, 2019","2,881.40","2,863.10","2,891.31","2,825.39","-","0.37%"
"May 09, 2019","2,870.72","2,859.84","2,875.97","2,836.40","-","-0.30%"
"May 08, 2019","2,879.42","2,879.61","2,897.96","2,873.28","-","-0.16%"
"May 07, 2019","2,884.05","2,913.03","2,913.03","2,862.60","-","-1.65%"
"May 06, 2019","2,932.47","2,908.89","2,937.32","2,898.21","-","-0.45%"
"May 03, 2019","2,945.64","2,929.21","2,947.85","2,929.21","-","0.96%"
"May 02, 2019","2,917.52","2,922.16","2,931.68","2,900.50","-","-0.21%"
"May 01, 2019","2,923.73","2,952.33","2,954.13","2,923.36","-","-0.75%"
"Apr 30, 2019","2,945.83","2,937.14","2,948.22","2,924.11","-","0.10%"
"Apr 29, 2019","2,943.03","2,940.58","2,949.52","2,939.35","-","0.11%"
"Apr 26, 2019","2,939.88","2,925.81","2,939.88","2,917.56","-","0.47%"
"Apr 25, 2019","2,926.17","2,928.99","2,933.10","2,912.84","-","-0.04%"
"Apr 24, 2019","2,927.25","2,934.00","2,936.83","2,926.05","-","-0.22%"
"Apr 23, 2019","2,933.68","2,909.99","2,936.31","2,908.53","-","0.88%"
"Apr 22, 2019","2,907.97","2,898.78","2,909.51","2,896.35","-","0.10%"
"Apr 18, 2019","2,905.03","2,904.81","2,908.40","2,891.90","-","0.16%"
"Apr 17, 2019","2,900.45","2,916.04","2,918.00","2,895.45","-","-0.23%"
"Apr 16, 2019","2,907.06","2,912.26","2,916.06","2,900.71","-","0.05%"
"Apr 15, 2019","2,905.58","2,908.32","2,909.60","2,896.48","-","-0.06%"
"Apr 12, 2019","2,907.41","2,900.86","2,910.54","2,898.37","-","0.66%"
"Apr 11, 2019","2,888.32","2,891.92","2,893.42","2,881.99","-","0.00%"
"Apr 10, 2019","2,888.21","2,881.37","2,889.71","2,879.13","-","0.35%"
"Apr 09, 2019","2,878.20","2,886.58","2,886.88","2,873.33","-","-0.61%"
"Apr 08, 2019","2,895.77","2,888.46","2,895.95","2,880.78","-","0.10%"
"Apr 05, 2019","2,892.74","2,884.16","2,893.24","2,882.99","-","0.46%"
"Apr 04, 2019","2,879.39","2,873.99","2,881.28","2,867.14","-","0.21%"
"Apr 03, 2019","2,873.40","2,876.09","2,885.25","2,865.17","-","0.21%"
"Apr 02, 2019","2,867.24","2,868.24","2,872.90","2,858.75","-","0.00%"
"Apr 01, 2019","2,867.19","2,848.63","2,869.40","2,848.63","-","1.16%"
