Cholera,COVID-19,Ebola,Swine Flu,SARS,Measles, Ebola,Meningitis,MERS,day
0,0,59,0,0,0,Ebola,0,0,1
1,0,60,0,0,0,Ebola,0,0,2
5,0,77,0,1,0,Ebola,2,0,3
12,0,77,0,1,1,Ebola,3,0,4
21,0,77,0,2,1,Ebola,6,0,5
33,0,77,0,2,1,Ebola,9,0,6
47,0,77,0,3,2,Ebola,13,0,7
64,0,82,0,4,3,Ebola,18,0,8
84,0,88,0,4,4,Ebola,24,0,9
106,0,90,0,9,5,Ebola,30,0,10
131,1,93,0,10,6,Ebola,37,0,11
159,1,96,0,10,7,Ebola,45,0,12
189,1,99,0,11,8,Ebola,53,0,13
222,1,102,0,14,10,Ebola,62,0,14
257,1,106,0,17,11,Ebola,72,0,15
295,2,110,0,17,13,Ebola,82,1,16
336,2,115,0,49,15,Ebola,93,1,17
379,2,117,0,53,17,Ebola,105,1,18
425,2,120,0,53,19,Ebola,117,1,19
474,3,123,0,54,21,Ebola,130,1,20
525,6,126,0,56,23,Ebola,144,1,21
579,9,129,0,58,26,Ebola,158,1,22
635,17,132,0,62,28,Ebola,172,1,23
694,25,135,0,78,31,Ebola,187,1,24
756,41,136,0,79,33,Ebola,203,1,25
820,56,138,0,84,36,Ebola,219,1,26
887,80,140,0,89,39,Ebola,235,1,27
957,106,142,1,93,42,Ebola,252,1,28
1029,132,144,1,98,45,Ebola,269,1,29
1104,170,147,2,103,49,Ebola,287,1,30
1181,213,148,2,106,52,Ebola,305,1,31
1261,259,149,3,111,56,Ebola,323,1,32
1344,304,151,3,116,59,Ebola,342,1,33
1440,362,152,4,119,63,Ebola,361,1,34
1534,426,154,4,131,67,Ebola,380,1,35
1626,492,155,4,144,71,Ebola,399,1,36
1716,565,157,5,154,75,Ebola,419,1,37
1804,638,158,5,159,79,Ebola,439,1,38
1891,725,160,6,165,84,Ebola,459,1,39
1975,813,162,6,182,88,Ebola,479,1,40
2057,910,164,7,182,93,Ebola,499,1,41
2138,1018,166,7,199,97,Ebola,520,1,42
2216,1115,166,9,217,102,Ebola,540,1,43
2293,1261,166,15,229,107,Ebola,560,1,44
2367,1383,166,25,251,112,Ebola,580,1,45
2440,1526,166,39,263,117,Ebola,601,1,46
2510,1669,167,57,274,122,Ebola,621,1,47
2578,1775,167,79,293,128,Ebola,641,1,48
2644,1873,167,106,307,133,Ebola,661,1,49
2708,2009,167,136,321,139,Ebola,681,1,50
2770,2126,168,170,353,145,Ebola,701,1,51
2830,2247,169,208,372,151,Ebola,720,1,52
2888,2360,171,251,391,156,Ebola,739,1,53
2943,2460,173,297,417,163,Ebola,758,1,54
2996,2618,174,347,435,169,Ebola,777,1,55
3047,2699,176,401,448,175,Ebola,795,1,56
3095,2763,178,460,461,181,Ebola,813,1,57
3141,2800,179,522,478,188,Ebola,831,1,58
3185,2858,181,589,495,195,Ebola,848,1,59
3226,2923,183,659,506,201,Ebola,865,1,60
3265,2977,184,734,514,208,Ebola,881,1,61
3301,3050,185,812,526,215,Ebola,897,1,62
3334,3117,186,895,539,222,Ebola,913,1,63
3365,3202,187,955,552,230,Ebola,928,1,64
3393,3285,200,967,573,237,Ebola,942,1,65
3419,3387,201,1028,587,244,Ebola,956,1,66
3441,3494,203,1040,598,252,Ebola,970,1,67
3460,3599,204,1040,611,260,Ebola,983,1,68
3476,3827,206,1070,623,268,Ebola,995,1,69
3488,4025,208,1100,633,276,Ebola,1007,1,70
3496,4296,215,1112,643,284,Ebola,1018,1,71
3500,4628,223,1148,662,292,Ebola,1028,1,72
3513,4981,231,1173,666,300,Ebola,1038,1,73
3526,5429,235,1197,682,308,Ebola,1047,1,74
3539,5833,239,1261,689,317,Ebola,1055,1,75
3551,6519,244,1326,696,326,Ebola,1063,1,76
3564,7161,248,1390,710,334,Ebola,1070,1,77
3577,7978,253,1402,725,343,Ebola,1076,1,78
3590,8951,270,1414,735,352,Ebola,1082,1,79
3603,10030,279,1463,745,361,Ebola,1087,1,80
3616,11386,289,1511,750,370,Ebola,1091,1,81
3629,13011,298,1567,754,380,Ebola,1094,1,82
3642,14640,308,1624,764,389,Ebola,1097,1,83
3654,16514,317,1680,767,399,Ebola,1098,1,84
3667,18895,327,1692,770,408,Ebola,1100,1,85
3680,21283,337,1704,772,418,Ebola,1100,1,86
3693,24074,337,1729,772,428,Ebola,1100,1,87
3706,27345,337,1753,775,438,Ebola,1100,1,88
3719,30863,337,1827,779,448,Ebola,1100,1,89
3732,34067,337,1908,780,458,Ebola,1100,1,90
3745,37776,337,1994,782,469,Ebola,1100,1,91
3757,42313,338,2087,784,479,Ebola,1100,1,92
3770,47203,354,2185,789,490,Ebola,1100,1,93
3783,53182,370,2289,789,501,Ebola,1100,1,94
3796,58897,386,2400,790,511,Ebola,1100,1,95
3809,64696,402,2516,792,522,Ebola,1100,1,96
